episodio,reward_total,epsilon,buffer,loss
84,805.9233449477201,0.049911691230058335,16234,3.613716572254628
85,871.119133574,0.049911691230058335,16568,3.781055745061811
86,326.81528239202373,0.049911691230058335,16730,3.922184201501171
87,363.84223826714435,0.049911691230058335,16877,3.7655333705144387
88,243.73993610223837,0.049911691230058335,17023,4.833985440484408
89,241.9879432624133,0.049911691230058335,17162,3.509722697562066
90,468.30602006688247,0.049911691230058335,17407,4.12547327065077
91,247.81480362537948,0.049911691230058335,17588,6.089358135726717
92,94.90418118467036,0.049911691230058335,17713,3.756624710175299
93,414.28421052630796,0.049911691230058335,17911,3.9675341148666923
94,833.4714285714127,0.049911691230058335,18228,3.2215877741198
95,424.28132295719155,0.049911691230058335,18435,3.5076638610617628
96,831.7246753246585,0.049911691230058335,18747,4.772903391019325
97,801.3622516556177,0.049911691230058335,19078,4.582132651589133
98,468.42622950819185,0.049911691230058335,19298,3.9426015631793296
99,860.1521739130355,0.049911691230058335,19583,4.406172173123964
100,476.61682847895787,0.049911691230058335,19785,3.7156901205357036
101,323.98648648648464,0.049911691230058335,19910,4.483291137603022
102,454.1187499999931,0.049911691230058335,20102,7.294864726940375
103,210.84437086092845,0.049911691230058335,20227,6.532498678853435
104,898.3271477663052,0.049911691230058335,20543,4.991765116131495
105,667.3060606060437,0.049911691230058335,20854,4.503240416511413
106,337.28888888888446,0.049911691230058335,21026,5.080375979518332
107,402.04324324324244,0.049911691230058335,21330,5.21220062392773
108,825.3473282442654,0.049911691230058335,21645,5.349097845660653
109,920.8999999999941,0.049911691230058335,21909,5.152150492704413
110,440.30344827585606,0.049911691230058335,22085,4.969732717786516
111,401.89288389512774,0.049911691230058335,22231,5.615575767385549
112,429.24576271185805,0.049911691230058335,22416,5.298088724198549
113,914.8999999999847,0.049911691230058335,22700,5.06560124019852
114,663.4085603112756,0.049911691230058335,22940,5.51305612061313
115,620.0076923076822,0.049911691230058335,23181,5.215060924490293
116,405.85395189003117,0.049911691230058335,23386,5.604845931716993
117,885.2411764705694,0.049911691230058335,23695,5.093804568439335
118,398.57959183672887,0.049911691230058335,23863,5.389604671272689
119,221.2859424920145,0.049911691230058335,23988,5.310644036339175
120,566.166666666658,0.049911691230058335,24223,6.026172023553115
121,144.4967741935499,0.049911691230058335,24365,6.495267323568358
122,498.5375886524772,0.049911691230058335,24559,5.915132832650694
123,384.85326460480786,0.049911691230058335,24708,6.847283350454794
124,611.1200692041476,0.049911691230058335,24897,5.49899389895987
125,367.6486692015191,0.049911691230058335,25053,7.098340334430818
126,895.1999999999855,0.049911691230058335,25319,7.267526211828556
127,592.0627450980301,0.049911691230058335,25535,5.604909967821698
128,468.549999999996,0.049911691230058335,25744,6.736030689798868
129,759.960839160828,0.049911691230058335,26008,8.126376041441363
130,879.7428571428433,0.049911691230058335,26266,7.349811020528296
131,412.533451957292,0.049911691230058335,26433,7.662557494209473
